Tempo,Voltagem
0,-64.9031
0.01,-64.8178
0.02,-64.7314
0.03,-64.6451
0.04,-64.559
0.05,-64.4728
0.06,-64.3868
0.07,-64.3008
0.08,-64.2149
0.09,-64.1291
0.1,-64.0433
0.11,-63.9576
0.12,-63.8719
0.13,-63.7863
0.14,-63.7008
0.15,-63.6153
0.16,-63.5299
0.17,-63.4446
0.18,-63.3593
0.19,-63.2741
0.2,-63.1889
0.21,-63.1038
0.22,-63.0187
0.23,-62.9337
0.24,-62.8487
0.25,-62.7638
0.26,-62.679
0.27,-62.5942
0.28,-62.5095
0.29,-62.4248
0.3,-62.3402
0.31,-62.2556
0.32,-62.1711
0.33,-62.0866
0.34,-62.0022
0.35,-61.9179
0.36,-61.8336
0.37,-61.7493
0.38,-61.6651
0.39,-61.581
0.4,-61.4969
0.41,-61.4129
0.42,-61.3289
0.43,-61.245
0.44,-61.1611
0.45,-61.0773
0.46,-60.9935
0.47,-60.9098
0.48,-60.8262
0.49,-60.7426
0.5,-60.659
0.51,-60.5756
0.52,-60.4921
0.53,-60.4088
0.54,-60.3255
0.55,-60.2422
0.56,-60.159
0.57,-60.0759
0.58,-59.9928
0.59,-59.9097
0.6,-59.8268
0.61,-59.7439
0.62,-59.661
0.63,-59.5782
0.64,-59.4955
0.65,-59.4128
0.66,-59.3302
0.67,-59.2477
0.68,-59.1652
0.69,-59.0828
0.7,-59.0004
0.71,-58.9181
0.72,-58.8359
0.73,-58.7537
0.74,-58.6716
0.75,-58.5896
0.76,-58.5076
0.77,-58.4257
0.78,-58.3439
0.79,-58.2621
0.8,-58.1804
0.81,-58.0988
0.82,-58.0172
0.83,-57.9357
0.84,-57.8543
0.85,-57.7729
0.86,-57.6917
0.87,-57.6105
0.88,-57.5293
0.89,-57.4482
0.9,-57.3673
0.91,-57.2863
0.92,-57.2055
0.93,-57.1247
0.94,-57.044
0.95,-56.9634
0.96,-56.8829
0.97,-56.8024
0.98,-56.722
0.99,-56.6417
1,-56.5615
1.01,-56.4813
1.02,-56.4012
1.03,-56.3212
1.04,-56.2413
1.05,-56.1615
1.06,-56.0817
1.07,-56.0021
1.08,-55.9225
1.09,-55.843
1.1,-55.7635
1.11,-55.6842
1.12,-55.605
1.13,-55.5258
1.14,-55.4467
1.15,-55.3677
1.16,-55.2888
1.17,-55.21
1.18,-55.1313
1.19,-55.0526
1.2,-54.9741
1.21,-54.8956
1.22,-54.8172
1.23,-54.739
1.24,-54.6608
1.25,-54.5827
1.26,-54.5047
1.27,-54.4268
1.28,-54.3489
1.29,-54.2712
1.3,-54.1936
1.31,-54.116
1.32,-54.0386
1.33,-53.9612
1.34,-53.884
1.35,-53.8068
1.36,-53.7298
1.37,-53.6528
1.38,-53.5759
1.39,-53.4992
1.4,-53.4225
1.41,-53.3459
1.42,-53.2695
1.43,-53.1931
1.44,-53.1168
1.45,-53.0407
1.46,-52.9646
1.47,-52.8886
1.48,-52.8128
1.49,-52.737
1.5,-52.6614
1.51,-52.5858
1.52,-52.5104
1.53,-52.435
1.54,-52.3598
1.55,-52.2847
1.56,-52.2096
1.57,-52.1347
1.58,-52.0599
1.59,-51.9852
1.6,-51.9106
1.61,-51.8361
1.62,-51.7617
1.63,-51.6874
1.64,-51.6133
1.65,-51.5392
1.66,-51.4652
1.67,-51.3914
1.68,-51.3177
1.69,-51.244
1.7,-51.1705
1.71,-51.0971
1.72,-51.0239
1.73,-50.9507
1.74,-50.8776
1.75,-50.8047
1.76,-50.7318
1.77,-50.6591
1.78,-50.5865
1.79,-50.514
